Scrape Date (YYYY-MM-DD hh:mm);City;Provider;Location Name;Name of Apartment;Additional info Apartment name;Room Category;Address;Size;Rent (in Ä/All-In);Booking/Rate Type;Other info;Data Comment
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Basic;;1 Person;M¸hlenstraﬂe 25, 13187 Berlin;23;851;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Comfort;;1 Person;M¸hlenstraﬂe 25, 13187 Berlin;26;901;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Premium;;2 Persons;M¸hlenstraﬂe 25, 13187 Berlin;30;1001;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Premium Plus;;2 Persons;M¸hlenstraﬂe 25, 13187 Berlin;34;1051;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Premium Plus XL;;2 Persons;M¸hlenstraﬂe 25, 13187 Berlin;38;1200;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Shared apartment (Big);;1 Person;M¸hlenstraﬂe 25, 13187 Berlin;15;751;;;
2025-12-11 00:00;Berlin;66 Monkeys;M¸hlenstraﬂe, Berlin;Shared apartment (Small);;1 Person;M¸hlenstraﬂe 25, 13187 Berlin;12;651;;;
2025-12-11 00:00;Berlin;66 Monkeys;Deulstraﬂe, Berlin;Basic;;1 Person;Deulstraﬂe 29, 12459 Berlin;20;850;;;
2025-12-11 00:00;Berlin;66 Monkeys;Deulstraﬂe, Berlin;Plus;;2 Persons;Deulstraﬂe 29, 12459 Berlin;30;951;;;
2025-12-11 00:00;Berlin;66 Monkeys;Deulstraﬂe, Berlin;Rooftop;;1 Person;Deulstraﬂe 29, 12459 Berlin;26;1001;;;
2025-12-11 00:00;Berlin;66 Monkeys;Deulstraﬂe, Berlin;Rooftop XL;;2 Persons;Deulstraﬂe 29, 12459 Berlin;40;1051;;;
2025-12-11 00:00;Berlin;The Urban Club;Berlin Tegel;Standard;;Student;"Von-der-Gablentz-Strasse 3-15, 13403 BerlinGermany
THE URBAN CLUB
Plˆnzeile";19;510;;;
2025-12-11 00:00;Berlin;The Urban Club;Berlin Tegel;Plus;;Standard;"Von-der-Gablentz-Strasse 3-15, 13403 BerlinGermany
THE URBAN CLUB
Plˆnzeile";;700;;;
2025-12-11 00:00;Berlin;The Urban Club;Berlin Tegel;Premium;;Standard;"Von-der-Gablentz-Strasse 3-15, 13403 BerlinGermany
THE URBAN CLUB
Plˆnzeile";;710;;;
2025-12-11 00:00;Berlin;The Urban Club;Berlin Oberschˆneweide;Standard;;Student;"Von-der-Gablentz-Strasse 3-15, 13403 BerlinGermany
THE URBAN CLUB
Plˆnzeile";19;510;;;
2025-12-11 00:00;Berlin;The Urban Club;Berlin Oberschˆneweide;Plus;;Young Professional;"Von-der-Gablentz-Strasse 3-15, 13403 BerlinGermany
THE URBAN CLUB
Plˆnzeile";;710;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1349;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1349;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1349;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1349;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;21;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;21;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;21;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Earlybird Promo (-100Ä)*;Warburgzeile 3, Berlin, 10587;21;1359;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
2025-12-11 00:00;Berlin;Havens Living;Berlin Charlottenburg;The Cozy;;Last Minute Offer (-100Ä)*;Warburgzeile 3, Berlin, 10587;20;1369;;;
